InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
538658,84360,TABLE LAMP WHITE SHADE WOOD BASE,2,2010-12-13 15:34:00,5.95,17969,United Kingdom,11.9
541181,22502,PICNIC BASKET WICKER SMALL,16,2011-01-14 11:50:00,4.95,12877,United Kingdom,79.2
577498,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2011-11-20 12:22:00,3.75,15906,United Kingdom,3.75
549682,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,2011-04-11 13:22:00,0.85,12596,Spain,10.2
546396,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,4,2011-03-11 14:35:00,2.1,13226,United Kingdom,8.4
567959,23205,CHARLOTTE BAG VINTAGE ALPHABET ,20,2011-09-23 09:13:00,0.85,12516,Germany,17.0
579093,20963,APPLE BATH SPONGE,50,2011-11-28 10:54:00,1.25,13081,United Kingdom,62.5
563404,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,8,2011-08-16 11:04:00,3.75,16303,United Kingdom,30.0
568869,23288,GREEN VINTAGE SPOT BEAKER,8,2011-09-29 12:01:00,0.85,12957,United Kingdom,6.8
558096,21851,LILAC DIAMANTE PEN IN GIFT BOX,2,2011-06-26 13:24:00,4.95,15532,United Kingdom,9.9
570637,22338,STAR DECORATION PAINTED ZINC ,96,2011-10-11 12:34:00,0.19,12530,Germany,18.240000000000002
566195,21877,HOME SWEET HOME MUG,12,2011-09-09 13:44:00,1.25,12433,Norway,15.0
559542,23266,SET OF 3 WOODEN STOCKING DECORATION,2,2011-07-10 13:32:00,1.25,17126,United Kingdom,2.5
555602,47504K,ENGLISH ROSE GARDEN SECATEURS,12,2011-06-06 11:26:00,1.95,16235,United Kingdom,23.4
565331,22791,T-LIGHT GLASS FLUTED ANTIQUE,12,2011-09-02 13:59:00,1.25,16674,United Kingdom,15.0
540121,22610,PENS ASSORTED FUNNY FACE,36,2011-01-05 10:35:00,0.21,16145,United Kingdom,7.56
555590,21668,RED STRIPE CERAMIC DRAWER KNOB,24,2011-06-06 09:39:00,1.25,17690,United Kingdom,30.0
557466,23240,SET OF 4 KNICK KNACK TINS DOILEY ,6,2011-06-20 13:08:00,4.15,13815,Germany,24.900000000000002
537469,22112,CHOCOLATE HOT WATER BOTTLE,24,2010-12-07 10:43:00,4.25,17720,United Kingdom,102.0
578307,22630,DOLLY GIRL LUNCH BOX,2,2011-11-23 15:53:00,1.95,17290,United Kingdom,3.9
543979,85114A,BLACK ENCHANTED FOREST PLACEMAT,5,2011-02-14 15:43:00,1.65,14606,United Kingdom,8.25
580881,23199,JUMBO BAG APPLES,10,2011-12-06 12:19:00,2.08,16620,United Kingdom,20.8
549557,22990,COTTON APRON PANTRY DESIGN,3,2011-04-10 12:59:00,4.95,14450,United Kingdom,14.850000000000001
560576,22295,HEART FILIGREE DOVE LARGE,6,2011-07-19 14:59:00,1.65,17287,United Kingdom,9.899999999999999
548567,23078,ICE CREAM PEN LIP GLOSS ,24,2011-04-01 10:34:00,1.25,17965,United Kingdom,30.0
549250,85144,JARDIN ETCHED GLASS CHEESE DISH,1,2011-04-07 12:10:00,1.95,14446,United Kingdom,1.95
552325,23206,LUNCH BAG APPLE DESIGN,10,2011-05-09 09:47:00,1.65,12490,France,16.5
546643,85150,LADIES & GENTLEMEN METAL SIGN,6,2011-03-15 13:23:00,2.55,16214,United Kingdom,15.299999999999999
554842,22568,FELTCRAFT CUSHION OWL,4,2011-05-26 18:17:00,3.75,14740,United Kingdom,15.0
547962,21714,CITRONELLA CANDLE GARDEN POT,12,2011-03-28 15:38:00,1.25,12957,United Kingdom,15.0
579161,23493,VINTAGE DOILY TRAVEL SEWING KIT,5,2011-11-28 13:56:00,1.95,17379,United Kingdom,9.75
550438,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,2011-04-18 12:16:00,8.5,15265,United Kingdom,17.0
544724,85152,HAND OVER THE CHOCOLATE   SIGN ,24,2011-02-23 10:46:00,2.1,15605,United Kingdom,50.400000000000006
580505,23350,ROLL WRAP VINTAGE SPOT ,4,2011-12-04 13:32:00,1.25,15867,United Kingdom,5.0
580504,23079,TOADSTOOL BEDSIDE LIGHT ,1,2011-12-04 13:32:00,8.95,17936,United Kingdom,8.95
562928,84926D,LA PALMIERA TILE COASTER,24,2011-08-10 15:29:00,0.29,15494,United Kingdom,6.959999999999999
559557,23159,SET OF 5 PANCAKE DAY MAGNETS,12,2011-07-11 10:33:00,2.08,17444,Canada,24.96
572472,22553,PLASTERS IN TIN SKULLS,12,2011-10-24 13:34:00,1.65,14139,United Kingdom,19.799999999999997
572509,23203,JUMBO BAG VINTAGE DOILY ,2,2011-10-24 14:25:00,2.08,17004,United Kingdom,4.16
567805,23333,IVORY WICKER HEART MEDIUM,2,2011-09-22 12:15:00,1.25,12854,United Kingdom,2.5
570855,22818,CARD CHRISTMAS VILLAGE,12,2011-10-12 14:56:00,0.42,17314,United Kingdom,5.04
573300,23570,TRADITIONAL PICK UP STICKS GAME ,1,2011-10-28 16:10:00,1.25,16049,United Kingdom,1.25
558758,21394,RED POLKADOT BEAKER ,1,2011-07-03 12:27:00,0.39,17939,United Kingdom,0.39
563477,23292,SPACEBOY CHILDRENS CUP,1,2011-08-16 15:39:00,1.25,17097,Spain,1.25
537372,22837,HOT WATER BOTTLE BABUSHKA ,2,2010-12-06 12:52:00,4.65,16919,United Kingdom,9.3
551142,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,4,2011-04-26 13:22:00,0.83,17613,United Kingdom,3.32
580134,20668,DISCO BALL CHRISTMAS DECORATION,24,2011-12-01 19:24:00,0.12,13102,United Kingdom,2.88
557123,22998,TRAVEL CARD WALLET KEEP CALM,10,2011-06-16 17:56:00,0.42,15555,United Kingdom,4.2
547708,82551,LAUNDRY 15C METAL SIGN,288,2011-03-24 18:34:00,1.7,17450,United Kingdom,489.59999999999997
555633,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2,2011-06-06 12:22:00,2.95,14534,United Kingdom,5.9
545812,85040A,S/4 PINK FLOWER CANDLES IN BOWL,12,2011-03-07 12:26:00,1.65,14214,United Kingdom,19.799999999999997
550512,84535B,FAIRY CAKES NOTEBOOK A6 SIZE,1,2011-04-18 16:31:00,0.65,18069,United Kingdom,0.65
569702,21899,GARAGE KEY FOB,1,2011-10-05 16:09:00,0.65,14396,United Kingdom,0.65
580903,22199,FRYING PAN RED RETROSPOT,1,2011-12-06 12:56:00,1.25,14606,United Kingdom,1.25
539466,82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",20,2010-12-19 12:46:00,0.42,12668,Germany,8.4
570252,23426,METAL SIGN DROP YOUR PANTS,6,2011-10-10 09:14:00,2.89,14665,United Kingdom,17.34
574653,22079,RIBBON REEL HEARTS DESIGN ,10,2011-11-06 11:30:00,1.65,12619,Germany,16.5
547921,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-03-28 13:28:00,1.25,14766,United Kingdom,15.0
579520,23320,GIANT 50'S CHRISTMAS CRACKER,1,2011-11-29 18:14:00,2.89,12748,United Kingdom,2.89
575303,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1,2011-11-09 12:34:00,1.65,12893,United Kingdom,1.65
540809,21901,"KEY FOB , BACK DOOR ",24,2011-01-11 12:37:00,0.65,18095,United Kingdom,15.600000000000001
578852,21137,BLACK RECORD COVER FRAME,1,2011-11-27 11:12:00,3.75,17841,United Kingdom,3.75
580289,23349,ROLL WRAP VINTAGE CHRISTMAS,1,2011-12-02 13:32:00,1.25,15856,United Kingdom,1.25
575324,22866,HAND WARMER SCOTTY DOG DESIGN,12,2011-11-09 13:45:00,2.1,14240,United Kingdom,25.200000000000003
567880,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,2011-09-22 14:56:00,2.55,15398,United Kingdom,15.299999999999999
547514,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",6,2011-03-23 14:00:00,2.95,17486,United Kingdom,17.700000000000003
556484,22937,BAKING MOULD CHOCOLATE CUPCAKES,6,2011-06-12 13:17:00,2.55,16938,United Kingdom,15.299999999999999
568531,22915,ASSORTED BOTTLE TOP  MAGNETS ,18,2011-09-27 13:49:00,0.42,16713,United Kingdom,7.56
570598,22592,CARDHOLDER HOLLY WREATH METAL,4,2011-10-11 11:55:00,3.75,14175,United Kingdom,15.0
569230,46000M,POLYESTER FILLER PAD 45x45cm,4,2011-10-02 15:07:00,1.55,16533,United Kingdom,6.2
542423,22951,60 CAKE CASES DOLLY GIRL DESIGN,48,2011-01-28 09:09:00,0.55,15057,United Kingdom,26.400000000000002
570404,23343,JUMBO BAG VINTAGE CHRISTMAS ,1,2011-10-10 12:50:00,2.08,16395,United Kingdom,2.08
550911,23205,CHARLOTTE BAG VINTAGE ALPHABET ,10,2011-04-21 13:11:00,0.85,12354,Spain,8.5
566041,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,12,2011-09-08 13:48:00,1.45,13814,Germany,17.4
574475,21544,SKULLS  WATER TRANSFER TATTOOS ,12,2011-11-04 12:18:00,0.85,14132,United Kingdom,10.2
550035,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,30,2011-04-14 11:48:00,2.08,15039,United Kingdom,62.400000000000006
549257,84725,FREESTYLE CANVAS ART PICTURE,1,2011-04-07 12:29:00,1.65,14465,United Kingdom,1.65
556072,47590B,PINK HAPPY BIRTHDAY BUNTING,6,2011-06-08 14:57:00,5.45,16126,United Kingdom,32.7
557295,POST,POSTAGE,1,2011-06-19 13:37:00,18.0,12724,France,18.0
571937,23174,REGENCY SUGAR BOWL GREEN,4,2011-10-20 09:28:00,4.15,14911,EIRE,16.6
564642,22536,MAGIC DRAWING SLATE PURDEY,24,2011-08-26 13:22:00,0.42,13527,United Kingdom,10.08
565472,79321,CHILLI LIGHTS,2,2011-09-05 10:15:00,5.75,16255,United Kingdom,11.5
542208,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2011-01-26 11:35:00,0.42,16422,United Kingdom,50.4
580126,23493,VINTAGE DOILY TRAVEL SEWING KIT,10,2011-12-01 17:20:00,1.95,12562,France,19.5
541302,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2011-01-17 14:18:00,0.85,13769,United Kingdom,10.2
553490,90014B,GOLD M PEARL  ORBIT NECKLACE,1,2011-05-17 12:44:00,9.95,13309,United Kingdom,9.95
540639,22439,6 ROCKET BALLOONS ,24,2011-01-10 12:28:00,0.65,13107,United Kingdom,15.600000000000001
561894,84731,3 BIRDS CANVAS SCREEN,1,2011-07-31 15:00:00,0.39,14456,United Kingdom,0.39
561874,22631,CIRCUS PARADE LUNCH BOX ,1,2011-07-31 12:02:00,1.95,16255,United Kingdom,1.95
571035,20725,LUNCH BAG RED RETROSPOT,10,2011-10-13 12:50:00,1.65,12446,RSA,16.5
557012,21469,POLKA DOT RAFFIA FOOD COVER,6,2011-06-16 11:51:00,3.75,18241,United Kingdom,22.5
540550,37444C,PINK BREAKFAST CUP AND SAUCER ,4,2011-01-10 09:11:00,2.95,12539,Spain,11.8
570671,22077,6 RIBBONS RUSTIC CHARM,12,2011-10-11 14:51:00,1.95,16171,United Kingdom,23.4
541711,21217,RED RETROSPOT ROUND CAKE TINS,12,2011-01-21 11:18:00,8.95,14646,Netherlands,107.39999999999999
556886,21078,SET/20 STRAWBERRY PAPER NAPKINS ,12,2011-06-15 12:34:00,0.85,12624,France,10.2
580138,23489,VINTAGE BELLS GARLAND,24,2011-12-02 08:55:00,2.89,13199,United Kingdom,69.36
556490,23049,RECYCLED ACAPULCO MAT RED,2,2011-06-12 14:08:00,8.25,13078,United Kingdom,16.5
580094,23394,POSTE FRANCE CUSHION COVER,2,2011-12-01 14:50:00,3.75,15904,United Kingdom,7.5
568322,23049,RECYCLED ACAPULCO MAT RED,1,2011-09-26 13:41:00,8.25,15958,United Kingdom,8.25
569862,23503,PLAYING CARDS KEEP CALM & CARRY ON,1,2011-10-06 14:43:00,1.25,14518,United Kingdom,1.25
548490,85066,CREAM SWEETHEART MINI CHEST,4,2011-03-31 13:13:00,12.75,12909,United Kingdom,51.0
544695,20728,LUNCH BAG CARS BLUE,10,2011-02-23 09:38:00,1.65,14276,United Kingdom,16.5
567300,POST,POSTAGE,3,2011-09-19 12:36:00,18.0,12724,France,54.0
544484,21592,RETROSPOT CIGAR BOX MATCHES ,24,2011-02-21 11:10:00,1.25,15321,United Kingdom,30.0
553946,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-05-20 10:48:00,2.95,15601,United Kingdom,17.700000000000003
540414,22894,TABLECLOTH RED APPLES DESIGN ,2,2011-01-07 10:32:00,8.5,12481,Germany,17.0
557514,22077,6 RIBBONS RUSTIC CHARM,3,2011-06-20 16:58:00,1.65,14667,United Kingdom,4.949999999999999
566482,23403,LETTER HOLDER HOME SWEET HOME,4,2011-09-13 09:43:00,3.75,16609,United Kingdom,15.0
555242,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-06-01 13:40:00,1.69,16424,United Kingdom,40.56
574711,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-11-06 14:20:00,2.95,14517,United Kingdom,17.700000000000003
557762,20726,LUNCH BAG WOODLAND,10,2011-06-22 14:01:00,1.65,15810,United Kingdom,16.5
549128,22995,TRAVEL CARD WALLET SUKI,36,2011-04-06 14:25:00,0.42,16713,United Kingdom,15.12
569846,22865,HAND WARMER OWL DESIGN,12,2011-10-06 13:42:00,2.1,13422,United Kingdom,25.200000000000003
540856,22849,BREAD BIN DINER STYLE MINT,4,2011-01-12 10:16:00,14.95,16655,United Kingdom,59.8
537852,21874,GIN AND TONIC MUG,12,2010-12-08 15:56:00,1.25,17340,United Kingdom,15.0
567656,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2011-09-21 14:40:00,8.29,14096,United Kingdom,8.29
553350,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2011-05-16 13:32:00,1.25,12871,United Kingdom,15.0
552894,21888,BINGO SET,1,2011-05-12 10:53:00,3.75,14606,United Kingdom,3.75
560125,23319,BOX OF 6 MINI 50'S CRACKERS,1,2011-07-15 10:44:00,2.49,18118,United Kingdom,2.49
537160,22694,WICKER STAR ,3,2010-12-05 13:18:00,2.1,14161,United Kingdom,6.300000000000001
549185,22978,PANTRY ROLLING PIN,6,2011-04-07 09:35:00,3.75,18272,United Kingdom,22.5
579539,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-11-30 10:06:00,2.95,14911,EIRE,17.700000000000003
567200,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-09-19 10:15:00,0.55,16460,United Kingdom,13.200000000000001
552315,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,2011-05-08 16:10:00,0.85,12700,France,10.2
547251,21169,YOU'RE CONFUSING ME METAL SIGN ,12,2011-03-22 09:43:00,1.69,17865,United Kingdom,20.28
574022,23084,RABBIT NIGHT LIGHT,48,2011-11-02 12:20:00,1.79,12594,Italy,85.92
579399,23245,SET OF 3 REGENCY CAKE TINS,3,2011-11-29 12:09:00,4.95,13137,United Kingdom,14.850000000000001
552108,21931,JUMBO STORAGE BAG SUKI,1,2011-05-06 11:36:00,2.08,17841,United Kingdom,2.08
578270,21218,RED SPOTTY BISCUIT TIN,1,2011-11-23 13:39:00,8.29,14096,United Kingdom,8.29
540953,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,2,2011-01-12 13:16:00,0.42,14587,United Kingdom,0.84
560895,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-07-21 17:12:00,2.95,13089,United Kingdom,17.700000000000003
576832,22630,DOLLY GIRL LUNCH BOX,12,2011-11-16 15:01:00,1.95,13102,United Kingdom,23.4
544339,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-02-18 09:04:00,2.95,15228,United Kingdom,17.700000000000003
545105,22899,CHILDREN'S APRON DOLLY GIRL ,12,2011-02-28 11:58:00,2.1,12598,France,25.200000000000003
563430,22297,HEART IVORY TRELLIS SMALL,24,2011-08-16 11:50:00,1.25,14918,United Kingdom,30.0
570488,23183,MOTHER'S KITCHEN SPOON REST ,2,2011-10-10 17:12:00,7.46,14096,United Kingdom,14.92
548808,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2011-04-04 12:55:00,11.95,17774,United Kingdom,23.9
579098,21985,PACK OF 12 HEARTS DESIGN TISSUES ,4,2011-11-28 11:18:00,0.39,14606,United Kingdom,1.56
537262,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-06 11:26:00,1.95,15039,United Kingdom,19.5
571064,20828,GLITTER BUTTERFLY CLIPS,2,2011-10-13 14:48:00,2.55,17181,United Kingdom,5.1
552202,47566,PARTY BUNTING,8,2011-05-06 14:51:00,4.95,12414,Austria,39.6
559984,23207,LUNCH BAG ALPHABET DESIGN,1,2011-07-14 11:45:00,1.65,16657,United Kingdom,1.65
572986,22024,RAINY LADIES BIRTHDAY CARD,12,2011-10-27 10:51:00,0.42,12681,France,5.04
538208,22110,BIRD HOUSE HOT WATER BOTTLE,1,2010-12-10 11:39:00,2.55,14037,United Kingdom,2.55
543801,22358,KINGS CHOICE TEA CADDY ,1,2011-02-13 11:52:00,2.95,17811,United Kingdom,2.95
567304,23408,PHOTO FRAME LINEN AND LACE SMALL,3,2011-09-19 13:27:00,2.08,14704,United Kingdom,6.24
568390,21260,FIRST AID TIN,6,2011-09-27 10:08:00,3.25,17811,United Kingdom,19.5
558761,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2011-07-03 12:52:00,6.95,15033,United Kingdom,13.9
554380,85174,S/4 CACTI CANDLES,8,2011-05-24 11:45:00,4.95,16709,United Kingdom,39.6
558196,22674,FRENCH TOILET SIGN BLUE METAL,6,2011-06-27 12:38:00,1.25,16033,United Kingdom,7.5
551653,22192,BLUE DINER WALL CLOCK,2,2011-05-03 12:03:00,8.5,13282,United Kingdom,17.0
536623,22815,CARD PSYCHEDELIC APPLES,24,2010-12-02 10:39:00,0.42,15601,United Kingdom,10.08
539333,22507,MEMO BOARD RETROSPOT  DESIGN,4,2010-12-17 09:52:00,4.95,13627,United Kingdom,19.8
542420,22348,TEA BAG PLATE RED RETROSPOT,6,2011-01-27 18:05:00,0.85,17180,United Kingdom,5.1
552036,22514,CHILDS GARDEN SPADE BLUE,2,2011-05-05 19:16:00,2.1,12748,United Kingdom,4.2
546486,15058A,BLUE POLKADOT GARDEN PARASOL,1,2011-03-14 11:41:00,7.95,15039,United Kingdom,7.95
550631,22626,BLACK KITCHEN SCALES,2,2011-04-19 14:51:00,8.5,15225,United Kingdom,17.0
